,Name,Party,Handle,Colour,Created,Followers,Tweets
115,Paul Murphy,AAA,paulmurphyaaa,#E5E500,2011-03-23 11:06:27,13333,7172
116,Margaret Murphy O'Mahony,FF,mgtmurphymahony,#66BB66,0,0,0
117,Denis Naughten,IND,DenisNaughten,Black,2009-02-24 23:24:15,6458,7906
118,Hildegarde Naughton,FG,1Hildegarde,#6699FF,2010-08-21 21:12:34,1754,1041
119,Tom Neville,FG,VoteTomNeville,#6699FF,2010-10-07 03:12:55,757,454
120,Carol Nolan,SF,None,#008800,2007-03-23 04:26:15,2,197
121,Michael Noonan,FG,None,#6699FF,2007-03-23 04:26:15,2,197
122,Darragh O'Brien,FF,DarraghOBrienTD,#66BB66,2010-09-27 11:02:00,2729,358
123,Jonathan O'Brien,SF,JOBrien_SF,#008800,2010-11-24 22:32:49,4446,3623
124,Jim O'Callaghan,FF,ocallaghanjim,#66BB66,2014-10-26 15:43:01,1848,668
125,Kate O'Connell,FG,campaignforkate,#6699FF,2013-09-16 13:39:14,3172,1791
126,Willie O'Dea,FF,willieodealive,#66BB66,2010-11-02 17:54:14,4805,720
127,Patrick O'Donovan,FG,podonovan,#6699FF,2009-08-30 20:26:10,3530,2688
128,Fergus O'Dowd,FG,Fergusodowd,#6699FF,2009-03-05 21:39:27,5143,1191
129,Kevin O'Keeffe,FF,None,#66BB66,2007-03-23 04:26:15,2,197
130,Fiona O'Loughlin,FF,fiona_kildare,#66BB66,2009-03-09 22:14:03,1681,2238
131,Louise O'Reilly,SF,loreillysf,#008800,2015-03-28 10:15:37,2107,4797
132,Frank O'Rourke,FF,None,#66BB66,2007-03-23 04:26:15,2,197
133,Jan O'Sullivan,LAB,JanOSullivanTD,#CC0000,2009-09-28 13:55:20,9941,2549
134,Maureen O'Sullivan,IND,MOSullivanTD,Black,2011-02-08 21:35:55,5180,3014
135,Willie Penrose,LAB,BrendanRyanTD,#CC0000,2011-01-28 10:19:33,2939,3158
136,John Paul Phelan,FG,JPPhelan,#6699FF,2009-02-03 10:49:05,4512,3995
137,Thomas Pringle,IND,ThomasPringleTD,Black,2011-02-16 18:43:08,4841,3309
138,Maurice Quinlivan,SF,QuinlivanTD,#008800,2010-11-06 12:12:13,3441,9526
139,Anne Rabbitte,FF,AnneRabbitte,#66BB66,2013-12-02 22:54:55,2157,6189
140,Michael Ring,FG,None,#6699FF,2007-03-23 04:26:15,2,197
141,Noel Rock,FG,NoelRock,#6699FF,2008-11-06 13:19:01,5445,26405
142,Shane Ross,IND,Shane_RossTD,Black,2011-01-17 16:54:36,38215,3051
143,Brendan  Ryan,LAB,BrendanRyanTD,#CC0000,2011-01-28 10:19:33,2939,3158
144,Eamon Ryan,GRN,eamonryan,#99CC33,2009-02-26 13:01:55,18088,6054
145,Eamon Scanlon,FF,EamonScanlonTD,#66BB66,2015-12-05 11:32:26,699,314
146,Seán Sherlock,LAB,seansherlocktd,#CC0000,2009-09-17 10:18:40,10534,8036
147,Róisín Shortall,SD,roisinshortall,#752F8B,2009-09-28 14:26:40,8115,281
148,Bríd Smith,PBP,bridsmith,#E5E500,2010-03-18 20:59:21,3082,1761
149,Brendan Smith,FF,BrendanSmithTD,#66BB66,2011-12-07 13:53:20,1332,1073
150,Niamh Smyth,FF,NiamhSmythTD,#66BB66,2016-06-07 10:20:08,475,415
151,Brian Stanley,SF,BrianStanleyTD,#008800,2011-10-06 19:48:39,1547,522
152,David Stanton,FG,davidstantontd,#6699FF,2010-01-13 19:19:53,3099,827
153,Peadar Tóibín,SF,Toibin1,#008800,2009-06-19 10:18:03,4906,7058
154,Robert Troy,FF,RobertTroyTD,#66BB66,2011-07-07 10:21:01,3397,798
155,Leo Varadkar,FG,campaignforleo,#6699FF,2010-12-22 13:35:26,33553,2246
156,Mick Wallace,IND,wallacemick,Black,2011-02-07 19:15:13,23162,3624
157,Katherine Zappone,IND,KZapponeTD,Black,2011-08-23 11:17:45,10686,4908
